throughput_tok_s,ttft_p50_s,ttft_p95_s,ttft_p99_s,tpot_mean_ms,hit_rate,req_per_s,n,pd,clients,policy
683.9719444444445,497.30069710659563,873.4115811167521,908.9441927411146,50.89035722463892,0.6862814978037634,1.2130555555555556,4367,3:15,1920,kv
246.10333333333332,935.9007015228416,1136.7178440609182,1157.058681218267,45.9403329119255,0.3328926435872851,0.6591666666666667,2373,3:15,1920,rr
566.7297222222222,0.12670050761425955,2.849137055837673,6.473447715736039,27.350788747931688,0.804390071697197,0.5036111111111111,1813,agg6,48,kv
715.8641666666666,0.8934010152283918,6.812588832487336,10.079245888324872,16.03056708160457,0.4045258934299384,0.6025,2169,agg6,48,rr
890.1861111111111,0.13969543147186414,3.7068020304568563,15.44045563451777,39.77003370407834,0.7874793504394811,0.8241666666666667,2967,agg6,96,kv
1152.4019444444446,2.2091370558373455,11.414783248730714,22.462724873096448,25.7557912363939,0.3982734285476862,0.9952777777777778,3583,agg6,96,rr
1387.7041666666667,0.1624365482233543,5.8867005076142505,38.451979695431476,60.90975942090755,0.7697657502994126,1.3047222222222221,4697,agg6,192,kv
1438.0869444444445,4.425358020303747,34.43324588832485,46.27348045685279,51.54511722731997,0.39766360072605667,1.3625,4905,agg6,192,rr
1542.973888888889,0.22174030456881155,34.38512350253808,77.02046802030449,111.62377101681365,0.7571037311763572,1.7347222222222223,6245,agg6,384,kv
1313.2355555555555,14.428656954316466,82.86832385786784,101.0443939086295,106.2680604534002,0.3878923463599995,1.5438888888888889,5558,agg6,384,rr
1529.5308333333332,0.23065989847737,53.83422081218271,100.42152284263955,138.4192807177608,0.7579558862771147,1.8266666666666667,6576,agg6,480,kv
1230.1794444444445,24.041207360405224,105.42224203045683,119.60164654822324,133.27457696409462,0.38432142922439017,1.5627777777777778,5626,agg6,480,rr
1402.643611111111,0.37625979695530987,112.1978710659896,169.3238578680203,213.9341758841993,0.7353900771673701,2.0341666666666667,7323,agg6,768,kv
975.6336111111111,78.95411670050089,173.49522842639587,189.13786802030452,211.61586676347744,0.3692634742683498,1.5302777777777778,5509,agg6,768,rr
1337.316388888889,0.4158375634517597,158.44282360406115,210.708189035533,265.97581646068954,0.7313494693684403,2.1127777777777776,7606,agg6,960,kv
851.8025,117.81924934009794,218.49340101522844,230.17702340101482,261.8629770992368,0.3535658613848624,1.4919444444444445,5371,agg6,960,rr
1101.3144444444445,0.8033503553292576,270.70387035532997,322.5134999492386,393.9354987803311,0.7112241153894123,2.163611111111111,7789,agg6,1440,kv
544.1811111111111,238.69958131980093,342.71098172588876,357.62975395939065,378.0300435255711,0.325022676278226,1.2763888888888888,4595,agg6,1440,rr
1051.3941666666667,0.9843654822334429,293.06575406091395,349.37502538071055,419.22422084623196,0.7035949876302188,2.1533333333333333,7752,agg6,1536,kv
504.42527777777775,259.49143873095954,378.6997634010163,399.6561212182742,397.7123030707617,0.320902905336407,1.2483333333333333,4494,agg6,1536,rr
888.8108333333333,2.0281787309586434,388.56653477157386,439.49807106598985,517.3835345845927,0.6853614076828323,2.116388888888889,7619,agg6,1920,kv
371.03777777777776,369.0919436548179,459.55200695431506,482.10736852791894,483.98761660686773,0.2619537237232195,1.083888888888889,3902,agg6,1920,rr
864.9936111111111,0.13319796954328922,3.167512690355352,7.3141526395939085,6.464477085781744,0.8030798447728212,0.7091666666666666,2553,6:12,48,kv
847.3625,1.2438472588830791,8.550659898477136,15.231419898477156,6.533373493976183,0.40340772015830095,0.6916666666666667,2490,6:12,48,rr
1698.7386111111111,0.18192893401010224,4.099898477157353,16.632425126903552,6.9058311970024056,0.7803041583971863,1.408611111111111,5071,6:12,96,kv
1575.0522222222223,3.9537055837563457,25.208884111674877,37.890963908629715,7.214737963357303,0.4090772030681434,1.3038888888888889,4694,6:12,96,rr
3309.356111111111,0.7574864974617412,11.547332994923835,32.860671065989855,8.083900796081803,0.7588648545841509,2.7216666666666667,9798,6:12,192,kv
1952.9252777777779,26.860867766501542,90.565484416245,113.06164883248721,10.21486387172158,0.40110911928641224,1.6630555555555555,5987,6:12,192,rr
4926.383333333333,13.027034720825213,32.310331015228144,72.84629441624365,13.247546903368965,0.7532179160276816,4.130833333333333,14871,6:12,384,kv
1885.3325,108.28587609136991,162.24811527919155,237.7836969543132,16.960073775987297,0.3901090891966934,1.6566666666666667,5964,6:12,384,rr
4719.884722222222,25.24419598985287,50.8930730456849,99.56555893401008,17.044005947032563,0.7467272244654497,4.016944444444444,14461,6:12,480,kv
1838.6722222222222,120.45369456852586,199.1624015228423,226.44626319796907,20.212029228960457,0.3835555897692569,1.6536111111111111,5953,6:12,480,rr
4382.193333333334,57.12950609136669,119.00208162436473,166.56073670050742,27.347749396902103,0.7414098419982283,3.915,14094,6:12,768,kv
1684.2658333333334,212.0887522842637,311.8275429949267,339.6372606598943,29.570556909155336,0.36952282049080215,1.596111111111111,5746,6:12,768,rr
4125.340833333334,78.59122350253438,169.8902385279187,213.52562578680204,33.89356005789058,0.7380872130693354,3.838888888888889,13820,6:12,960,kv
1613.506388888889,280.6365702538051,377.85327832487064,403.2992973096443,35.574366078925756,0.37435784338482353,1.6541666666666666,5955,6:12,960,rr
3467.008888888889,126.25585614213196,282.37644670050753,326.11154416243664,49.73665897377023,0.7265449657929179,3.6108333333333333,12999,6:12,1440,kv
963.1686111111111,452.5166659898475,581.8997520812184,594.9433459390884,49.53186836518086,0.3342590097931435,1.3083333333333333,4710,6:12,1440,rr
3300.929166666667,149.213103401014,304.38700593908624,353.81765527918793,52.82913816364523,0.7208463308400458,3.500277777777778,12601,6:12,1536,kv
849.3397222222222,474.3899528426409,616.0451051776652,660.2401275634534,52.05064085447118,0.31606913261741687,1.2483333333333333,4494,6:12,1536,rr
2973.2675,171.26336223349608,403.07608954314645,442.9714477157363,64.86508878578766,0.7114158497549532,3.472777777777778,12502,6:12,1920,kv
609.2269444444445,605.6081318274115,738.2516803553285,769.8131359898439,61.46466833541937,0.26500817586825465,1.1097222222222223,3995,6:12,1920,rr
865.8858333333334,0.13319796954328922,2.921767664974624,4.990050761421315,6.595303564434203,0.8007738948037059,0.7091666666666666,2553,9:9,48,kv
847.3625,1.8387817258883388,7.589035532994785,10.824771573604266,6.670080321285277,0.2920763410715549,0.6916666666666667,2490,9:9,48,rr
1698.8772222222221,0.16243654822346798,3.5151269035532096,10.741922233502542,7.198391167192312,0.7820105510487086,1.4088888888888889,5072,9:9,96,kv
1624.0852777777777,3.1568980710659957,15.662285989847817,30.719310406091722,7.507015663643708,0.30168191933561145,1.3477777777777777,4852,9:9,96,rr
3349.4883333333332,0.25664974619292025,5.37989847715744,19.189006091370544,8.740792627656585,0.7601122681518596,2.7580555555555555,9929,9:9,192,kv
2478.6030555555553,12.69693649746364,51.97191436548235,72.64064015228436,10.71744136460496,0.3044383746782004,2.0844444444444443,7504,9:9,192,rr
5996.5275,1.8325440101516506,11.637173096446759,45.45854294416245,13.520662362239523,0.7373699231761658,4.990555555555556,17966,9:9,384,kv
2450.7180555555556,63.28561431472008,128.29169340101566,144.9869154314722,19.848220502901334,0.2959308335879835,2.154166666666667,7755,9:9,384,rr
6633.620833333333,4.0905982741110165,18.46748928934005,60.455021319796884,17.264957022903225,0.7342129309621268,5.590833333333333,20127,9:9,480,kv
2386.6358333333333,80.0584771573604,148.5588848730962,237.22945370558227,24.31860713356052,0.28981643807687346,2.133888888888889,7682,9:9,480,rr
6376.080555555555,20.163459949237676,57.73080532994891,105.45791969543143,31.538686967587438,0.7323744454810991,5.6738888888888885,20426,9:9,768,kv
2205.2166666666667,142.592837106599,241.65666873096484,262.93743578680096,37.12461588968952,0.28748436246188275,2.1152777777777776,7615,9:9,768,rr
6128.2525,29.004636040614287,86.03000345177662,135.87848832487322,40.59193055486722,0.7329410845872217,5.671944444444445,20419,9:9,960,kv
2012.2022222222222,195.18657609137176,265.08363654822233,323.34835548223555,45.34951140504967,0.27740619686762746,2.0580555555555557,7409,9:9,960,rr
5118.504444444445,56.62156294415263,157.3203646700506,212.6099492385787,62.69463199214521,0.719898654052282,5.378055555555555,19361,9:9,1440,kv
1687.6616666666666,306.8421237055841,401.3151138071064,411.7692761421315,65.1258139534873,0.2726727113143452,2.0544444444444445,7396,9:9,1440,rr
5081.834444444445,59.57609822334598,173.67357441624375,229.06477157360413,66.82847605374957,0.7228902089758531,5.417222222222223,19502,9:9,1536,kv
1586.8369444444445,327.38413436548353,435.8185335532987,458.50681868020456,68.97616016427033,0.27756877789673834,2.029166666666667,7305,9:9,1536,rr
4427.956111111111,83.76333162435958,235.3377859390858,289.06233502538083,83.7461772853257,0.7139706102661467,5.214444444444444,18772,9:9,1920,kv
1150.6722222222222,416.245342385786,562.5268070558373,583.4299953299451,83.40724579663804,0.24125555035041754,1.7347222222222223,6245,9:9,1920,rr
