model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,encoder_latency,encoder_memory,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,cp,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
/tmp/n3u-fp4,96000,900,92000,16,1.331,16,16,456.228,12.726,11896.697,0,0.0,1.331,0.333,1196.342,299.085,78.581,4,4,1,1,4,1,1,tp4pp1dp1etp4ep1,fp8_static,fp8,fp8,nvfp4,half,144.14,0.009,2.0,14.0,192014.0,192000,14.0,sglang,0.5.14,gb300,0.0,299.085
/tmp/n3u-fp4,96000,900,92000,14,1.219,14,14,445.69,12.129,11349.888,0,0.0,1.219,0.305,1095.607,273.902,82.445,4,4,1,1,4,1,1,tp4pp1dp1etp4ep1,fp8_static,fp8,fp8,nvfp4,half,139.149,0.008,2.0,12.0,192012.0,192000,12.0,sglang,0.5.14,gb300,0.0,273.902
/tmp/n3u-fp4,96000,900,92000,13,1.16,13,13,281.876,12.113,11171.51,0,0.0,1.16,0.29,1043.141,260.785,82.556,4,4,1,1,4,1,1,tp4pp1dp1etp4ep1,fp8_static,fp8,fp8,nvfp4,half,125.705,0.014,1.0,12.0,96012.0,96000,12.0,sglang,0.5.14,gb300,0.0,260.785
/tmp/n3u-fp4,96000,900,92000,13,1.159,13,13,445.49,11.833,11082.912,0,0.0,1.159,0.29,1041.507,260.377,84.513,4,4,1,1,4,1,1,tp4pp1dp1etp4ep1,fp8_static,fp8,fp8,nvfp4,half,136.654,0.007,2.0,11.0,192011.0,192000,11.0,sglang,0.5.14,gb300,0.0,260.377
/tmp/n3u-fp4,96000,900,92000,12,1.109,12,12,435.17,11.383,10668.6,0,0.0,1.109,0.277,997.238,249.31,87.849,4,4,1,1,4,1,1,tp4pp1dp1etp4ep1,fp8_static,fp8,fp8,nvfp4,half,134.159,0.007,2.0,10.0,192010.0,192000,10.0,sglang,0.5.14,gb300,0.0,249.31
/tmp/n3u-fp4,96000,900,92000,11,1.044,11,11,270.194,11.364,10486.845,0,0.0,1.044,0.261,938.978,234.744,87.994,4,4,1,1,4,1,1,tp4pp1dp1etp4ep1,fp8_static,fp8,fp8,nvfp4,half,120.714,0.012,1.0,10.0,96010.0,96000,10.0,sglang,0.5.14,gb300,0.0,234.744
/tmp/n3u-fp4,96000,900,92000,11,1.042,11,11,434.974,11.095,10409.651,0,0.0,1.042,0.26,936.509,234.127,90.128,4,4,1,1,4,1,1,tp4pp1dp1etp4ep1,fp8_static,fp8,fp8,nvfp4,half,131.664,0.006,2.0,9.0,192009.0,192000,9.0,sglang,0.5.14,gb300,0.0,234.127
/tmp/n3u-fp4,96000,900,92000,20,1.989,20,20,372.643,10.682,9976.066,0,0.0,1.989,0.249,1787.672,223.459,93.612,8,8,1,1,4,2,1,tp8pp1dp1etp4ep2,fp8_static,fp8,fp8,nvfp4,half,116.453,0.011,2.0,18.0,192018.0,192000,18.0,sglang,0.5.14,gb300,0.0,223.459
/tmp/n3u-fp4,96000,900,92000,10,0.992,10,10,418.746,10.576,9926.697,0,0.0,0.992,0.248,891.422,222.856,94.552,4,4,1,1,2,2,1,tp4pp1dp1etp2ep2,fp8_static,fp8,fp8,nvfp4,half,129.168,0.006,2.0,8.0,192008.0,192000,8.0,sglang,0.5.14,gb300,0.0,222.856
/tmp/n3u-fp4,96000,900,92000,9,0.918,9,9,254.911,10.563,9751.225,0,0.0,0.918,0.229,824.966,206.241,94.668,4,4,1,1,2,2,1,tp4pp1dp1etp2ep2,fp8_static,fp8,fp8,nvfp4,half,115.724,0.01,1.0,8.0,96008.0,96000,8.0,sglang,0.5.14,gb300,0.0,206.241
/tmp/n3u-fp4,96000,900,92000,9,0.914,9,9,418.611,10.31,9687.662,0,0.0,0.914,0.229,821.718,205.429,96.989,4,4,1,1,2,2,1,tp4pp1dp1etp2ep2,fp8_static,fp8,fp8,nvfp4,half,126.673,0.005,2.0,7.0,192007.0,192000,7.0,sglang,0.5.14,gb300,0.0,205.429
/tmp/n3u-fp4,96000,900,92000,16,1.759,16,16,356.237,9.613,8998.385,0,0.0,1.759,0.22,1581.023,197.628,104.025,8,8,1,1,4,2,1,tp8pp1dp1etp4ep2,fp8_static,fp8,fp8,nvfp4,half,106.472,0.009,2.0,14.0,192014.0,192000,14.0,sglang,0.5.14,gb300,0.0,197.628
/tmp/n3u-fp4,96000,900,92000,15,1.677,15,15,356.12,9.442,8844.71,0,0.0,1.677,0.21,1507.625,188.453,105.907,8,8,1,1,4,2,1,tp8pp1dp1etp4ep2,fp8_static,fp8,fp8,nvfp4,half,103.977,0.008,2.0,13.0,192013.0,192000,13.0,sglang,0.5.14,gb300,0.0,188.453
/tmp/n3u-fp4,96000,900,92000,14,1.612,14,14,348.092,9.154,8577.889,0,0.0,1.612,0.201,1448.972,181.121,109.237,8,8,1,1,4,2,1,tp8pp1dp1etp4ep2,fp8_static,fp8,fp8,nvfp4,half,101.481,0.008,2.0,12.0,192012.0,192000,12.0,sglang,0.5.14,gb300,0.0,181.121
/tmp/n3u-fp4,96000,900,92000,13,1.536,13,13,214.083,9.15,8440.131,0,0.0,1.536,0.192,1380.684,172.585,109.287,8,8,1,1,4,2,1,tp8pp1dp1etp4ep2,fp8_static,fp8,fp8,nvfp4,half,88.037,0.014,1.0,12.0,96012.0,96000,12.0,sglang,0.5.14,gb300,0.0,172.585
/tmp/n3u-fp4,96000,900,92000,13,1.528,13,13,347.978,8.956,8399.722,0,0.0,1.528,0.191,1373.592,171.699,111.653,8,8,1,1,4,2,1,tp8pp1dp1etp4ep2,fp8_static,fp8,fp8,nvfp4,half,98.986,0.007,2.0,11.0,192011.0,192000,11.0,sglang,0.5.14,gb300,0.0,171.699
/tmp/n3u-fp4,96000,900,92000,12,1.462,12,12,339.957,8.625,8093.545,0,0.0,1.462,0.183,1313.896,164.237,115.946,8,8,1,1,4,2,1,tp8pp1dp1etp4ep2,fp8_static,fp8,fp8,nvfp4,half,96.491,0.007,2.0,10.0,192010.0,192000,10.0,sglang,0.5.14,gb300,0.0,164.237
/tmp/n3u-fp4,96000,900,92000,11,1.357,11,11,339.846,8.506,7987.179,0,0.0,1.357,0.17,1220.183,152.523,117.557,8,8,1,1,4,2,1,tp8pp1dp1etp4ep2,fp8_static,fp8,fp8,nvfp4,half,93.996,0.006,2.0,9.0,192009.0,192000,9.0,sglang,0.5.14,gb300,0.0,152.523
/tmp/n3u-fp4,96000,900,92000,10,1.279,10,10,331.833,8.191,7695.703,0,0.0,1.279,0.16,1149.391,143.674,122.083,8,8,1,1,4,2,1,tp8pp1dp1etp4ep2,fp8_static,fp8,fp8,nvfp4,half,91.501,0.006,2.0,8.0,192008.0,192000,8.0,sglang,0.5.14,gb300,0.0,143.674
/tmp/n3u-fp4,96000,900,92000,9,1.155,9,9,331.701,8.16,7667.664,0,0.0,1.155,0.144,1038.173,129.772,122.547,8,8,1,1,4,2,1,tp8pp1dp1etp4ep2,fp8_static,fp8,fp8,nvfp4,half,89.005,0.005,2.0,7.0,192007.0,192000,7.0,sglang,0.5.14,gb300,0.0,129.772
/tmp/n3u-fp4,96000,900,92000,8,1.082,8,8,323.675,7.712,7256.882,0,0.0,1.082,0.135,973.016,121.627,129.666,8,8,1,1,4,2,1,tp8pp1dp1etp4ep2,fp8_static,fp8,fp8,nvfp4,half,86.51,0.004,2.0,6.0,192006.0,192000,6.0,sglang,0.5.14,gb300,0.0,121.62700000000001
/tmp/n3u-fp4,96000,900,92000,8,1.081,8,8,338.244,7.695,7255.98,0,0.0,1.081,0.135,972.242,121.53,129.956,8,8,1,1,8,1,1,tp8pp1dp1etp8ep1,fp8_static,fp8,fp8,nvfp4,half,86.51,0.004,2.0,6.0,192006.0,192000,6.0,sglang,0.5.14,gb300,0.0,121.53
/tmp/n3u-fp4,96000,900,92000,7,0.954,7,7,323.546,7.651,7201.841,0,0.0,0.954,0.119,857.769,107.221,130.701,8,8,1,1,4,2,1,tp8pp1dp1etp4ep2,fp8_static,fp8,fp8,nvfp4,half,84.015,0.004,2.0,5.0,192005.0,192000,5.0,sglang,0.5.14,gb300,0.0,107.221
/tmp/n3u-fp4,96000,900,92000,6,0.891,6,6,315.529,7.15,6743.69,0,0.0,0.891,0.111,800.708,100.088,139.853,8,8,1,1,4,2,1,tp8pp1dp1etp4ep2,fp8_static,fp8,fp8,nvfp4,half,81.52,0.003,2.0,4.0,192004.0,192000,4.0,sglang,0.5.14,gb300,0.0,100.088
/tmp/n3u-fp4,96000,900,92000,5,0.788,5,5,178.981,6.792,6285.25,0,0.0,0.788,0.098,708.056,88.507,147.226,8,8,1,1,4,2,1,tp8pp1dp1etp4ep2,fp8_static,fp8,fp8,nvfp4,half,68.075,0.006,1.0,4.0,96004.0,96000,4.0,sglang,0.5.14,gb300,0.0,88.507
/tmp/n3u-fp4,96000,900,92000,5,0.78,5,5,315.427,6.785,6415.385,0,0.0,0.78,0.098,701.401,87.675,147.378,8,8,1,1,4,2,1,tp8pp1dp1etp4ep2,fp8_static,fp8,fp8,nvfp4,half,79.024,0.003,2.0,3.0,192003.0,192000,3.0,sglang,0.5.14,gb300,0.0,87.675
/tmp/n3u-fp4,96000,900,92000,4,0.659,4,4,307.441,6.578,6221.497,0,0.0,0.659,0.082,592.254,74.032,152.011,8,8,1,1,4,2,1,tp8pp1dp1etp4ep2,fp8_static,fp8,fp8,nvfp4,half,76.529,0.002,2.0,2.0,192002.0,192000,2.0,sglang,0.5.14,gb300,0.0,74.032
/tmp/n3u-fp4,96000,900,92000,4,0.657,4,4,174.629,6.498,6016.383,0,0.0,0.657,0.082,591.028,73.879,153.892,8,8,1,1,4,2,1,tp8pp1dp1etp4ep2,fp8_static,fp8,fp8,nvfp4,half,65.58,0.004,1.0,3.0,96003.0,96000,3.0,sglang,0.5.14,gb300,0.0,73.879
/tmp/n3u-fp4,96000,900,92000,3,0.544,3,3,170.282,5.955,5524.009,0,0.0,0.544,0.068,488.759,61.095,167.92,8,8,1,1,4,2,1,tp8pp1dp1etp4ep2,fp8_static,fp8,fp8,nvfp4,half,63.084,0.003,1.0,2.0,96002.0,96000,2.0,sglang,0.5.14,gb300,0.0,61.095
/tmp/n3u-fp4,96000,900,92000,2,0.378,2,2,165.297,5.787,5368.235,0,0.0,0.378,0.047,340.034,42.504,172.787,8,8,1,1,2,4,1,tp8pp1dp1etp2ep4,fp8_static,fp8,fp8,nvfp4,half,60.589,0.002,1.0,1.0,96001.0,96000,1.0,sglang,0.5.14,gb300,0.0,42.504
/tmp/n3u-fp4,96000,900,92000,1,0.198,1,1,161.123,5.532,5133.967,0,0.0,0.198,0.025,177.751,22.219,180.782,8,8,1,1,4,2,1,tp8pp1dp1etp4ep2,fp8_static,fp8,fp8,nvfp4,half,58.094,0.001,1.0,1.0,96000.0,96000,1.0,sglang,0.5.14,gb300,0.0,22.219
