model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,encoder_latency,encoder_memory,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,cp,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
/tmp/n3u,96000,900,0,64,0.557,16,64,25350.884,90.428,106645.912,0,0.0,0.557,0.07,500.682,62.585,11.058,8,2,1,4,4,2,1,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,264.098,0.009,2.0,14.0,192014.0,192000,14.0,sglang,0.5.14,gb300,0.0,62.585
/tmp/n3u,96000,900,0,44,0.554,11,44,27052.626,88.109,106262.241,0,0.0,0.554,0.069,498.466,62.308,11.35,8,2,1,4,4,2,1,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,212.409,0.764,1.0,10.0,1546.0,1536,10.0,sglang,0.5.14,gb300,0.0,62.308
/tmp/n3u,96000,900,0,56,0.544,14,56,24786.639,77.135,94131.16,0,0.0,0.544,0.068,488.823,61.103,12.964,8,2,1,4,4,2,1,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,254.117,0.008,2.0,12.0,192012.0,192000,12.0,sglang,0.5.14,gb300,0.0,61.103
/tmp/n3u,96000,900,0,48,0.534,6,48,22340.284,65.368,81106.276,0,0.0,0.534,0.067,480.493,60.062,15.298,8,1,1,8,4,2,1,tp1pp1dp8etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,269.139,0.007,1.0,5.0,96005.0,96000,5.0,sglang,0.5.14,gb300,0.0,60.06199999999999
/tmp/n3u,96000,900,0,48,0.527,12,48,24222.432,63.904,81672.082,0,0.0,0.527,0.066,473.57,59.196,15.648,8,2,1,4,4,2,1,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,244.136,0.007,2.0,10.0,192010.0,192000,10.0,sglang,0.5.14,gb300,0.0,59.196
/tmp/n3u,96000,900,0,44,0.513,11,44,22440.686,60.753,77057.591,0,0.0,0.513,0.064,460.983,57.623,16.46,8,2,1,4,4,2,1,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,236.927,0.007,2.0,9.0,176201.0,176192,9.0,sglang,0.5.14,gb300,0.0,57.623
/tmp/n3u,96000,900,0,40,0.509,5,40,21819.77,52.914,69389.371,0,0.0,0.509,0.064,457.303,57.163,18.899,8,1,1,8,4,2,1,tp1pp1dp8etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,259.159,0.006,1.0,4.0,96004.0,96000,4.0,sglang,0.5.14,gb300,0.0,57.16299999999999
/tmp/n3u,96000,900,0,40,0.506,10,40,23658.266,50.507,69063.917,0,0.0,0.506,0.063,454.602,56.825,19.799,8,2,1,4,4,2,1,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,234.156,0.006,2.0,8.0,192008.0,192000,8.0,sglang,0.5.14,gb300,0.0,56.82500000000001
/tmp/n3u,96000,900,0,36,0.483,9,36,21917.955,48.201,65250.901,0,0.0,0.483,0.06,434.137,54.267,20.746,8,2,1,4,4,2,1,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,226.946,0.005,2.0,7.0,176199.0,176192,7.0,sglang,0.5.14,gb300,0.0,54.267
/tmp/n3u,96000,900,0,32,0.475,8,32,23094.587,37.367,56687.957,0,0.0,0.475,0.059,427.36,53.42,26.761,8,2,1,4,4,2,1,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,224.175,0.004,2.0,6.0,192006.0,192000,6.0,sglang,0.5.14,gb300,0.0,53.419999999999995
/tmp/n3u,96000,900,0,24,0.446,6,24,22556.063,34.783,53826.372,0,0.0,0.446,0.056,401.104,50.138,28.749,8,2,1,4,8,1,1,tp2pp1dp4etp8ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,214.194,0.003,2.0,4.0,192004.0,192000,4.0,sglang,0.5.14,gb300,0.0,50.138
/tmp/n3u,96000,900,0,20,0.427,5,20,11903.067,33.252,41796.563,0,0.0,0.427,0.053,383.931,47.991,30.073,8,2,1,4,8,1,1,tp2pp1dp4etp8ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,195.728,0.006,1.0,4.0,96004.0,96000,4.0,sglang,0.5.14,gb300,0.0,47.99100000000001
/tmp/n3u,96000,900,0,24,0.423,6,24,18837.411,32.468,48026.574,0,0.0,0.423,0.053,380.588,47.574,30.799,8,2,1,4,8,1,1,tp2pp1dp4etp8ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,208.606,0.004,2.0,4.0,152196.0,152192,4.0,sglang,0.5.14,gb300,0.0,47.57399999999999
/tmp/n3u,96000,900,0,8,0.423,1,8,29227.029,20.438,47601.237,0,0.0,0.423,0.053,380.055,47.507,48.927,8,1,1,8,8,1,1,tp1pp1dp8etp8ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,198.505,0.021,1.0,1.0,5120.0,5120,1.0,sglang,0.5.14,gb300,0.0,47.507
/tmp/n3u,96000,900,0,10,0.322,5,10,9189.043,19.624,26831.427,0,0.0,0.322,0.04,289.528,36.191,50.957,8,4,1,2,8,1,1,tp4pp1dp2etp8ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,181.749,0.004,2.0,3.0,128195.0,128192,3.0,sglang,0.5.14,gb300,0.0,36.191
/tmp/n3u,96000,900,0,4,0.319,1,4,27631.769,13.845,40078.488,0,0.0,0.319,0.04,286.389,35.799,72.228,8,2,1,4,8,1,1,tp2pp1dp4etp8ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,162.505,0.069,1.0,1.0,1536.0,1536,1.0,sglang,0.5.14,gb300,0.0,35.799
/tmp/n3u,96000,900,0,1,0.142,1,1,25290.23,7.781,32285.369,0,0.0,0.142,0.035,127.294,31.823,128.518,4,4,1,1,4,1,1,tp4pp1dp1etp4ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,267.284,0.104,1.0,1.0,1024.0,1024,1.0,sglang,0.5.14,gb300,0.0,31.822999999999997
/tmp/n3u,96000,900,0,1,0.19,1,1,23924.981,5.819,29155.877,0,0.0,0.19,0.024,170.825,21.353,171.863,8,8,1,1,4,2,1,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,139.682,0.208,1.0,1.0,512.0,512,1.0,sglang,0.5.14,gb300,0.0,21.352999999999998
