pd,gpus,policy,clients,clients_per_gpu,req_per_s,total_tok_s_gpu,out_tok_s_gpu,hit_rate,ttft_p50_s,ttft_p95_s,tpot_mean_ms,tpot_p90_ms,p90_interactivity,in_tok_per_req,out_per_req,sub_share,wait_p95_s,lat_mean_s,n
8:8,64,rr,288,4.5,4.715,6902.1,58.71,0.706,2.411,26.308,12.67,19.66,50.9,92895,797,0.766,25.008,16.66,16973
8:8,64,rr,336,5.25,6.075,8590.7,73.13,0.695,6.336,48.647,17.33,26.26,38.1,89736,770,0.797,47.773,27.77,21869
8:8,64,kv,480,7.5,6.511,9697.2,85.09,0.913,0.096,2.413,12.36,16.58,60.3,94485,836,0.722,1.339,10.87,23439
8:8,64,rr,480,7.5,6.141,8434.9,73.58,0.638,27.058,131.222,30.13,42.1,23.8,87146,767,0.781,129.924,65.35,22106
8:8,64,kv-tuned,96,1.5,1.55,2127.3,17.76,0.961,0.051,0.704,7.84,8.66,115.5,87118,734,0.768,0.17,5.94,5579
8:8,64,kv-tuned,288,4.5,3.371,5208.8,44.19,0.947,0.083,2.099,8.88,9.98,100.2,98058,839,0.693,1.346,7.83,12135
8:8,64,kv,672,10.5,11.266,15183.2,137.17,0.906,0.123,3.859,21.77,39.02,25.6,85473,779,0.783,2.904,17.72,40558
8:8,64,kv-tuned,480,7.5,6.247,9305.5,81.75,0.937,0.096,2.405,11.63,15.26,65.5,94502,838,0.718,1.765,10.21,22488
8:8,64,kv-tuned,672,10.5,10.867,14662.4,133.3,0.934,0.107,2.08,19.91,32.86,30.4,85570,785,0.78,1.509,16.15,39120
8:8,64,kv,864,13.5,15.782,21401.6,186.12,0.898,0.259,5.607,42.53,74.22,13.5,86034,755,0.81,4.983,32.62,56815
8:8,64,kv-tuned,864,13.5,15.054,20752.6,179.92,0.931,0.12,2.416,36.67,65.86,15.2,87464,765,0.797,1.816,28.32,54193
8:8,64,kv,1344,21.0,18.899,23535.6,198.25,0.864,9.78,44.815,103.48,139.34,7.2,79031,671,0.848,44.525,83.16,68036
8:8,64,kv-tuned,960,15.0,16.023,22292.5,191.45,0.93,0.123,2.571,45.05,76.42,13.1,88277,765,0.799,2.002,34.74,57683
8:8,64,kv,1536,24.0,17.234,19773.6,168.75,0.831,30.451,71.586,131.82,159.14,6.3,72803,627,0.855,71.256,116.56,62044
8:8,64,kv-tuned,1344,21.0,20.591,26990.7,226.67,0.921,0.165,5.445,90.67,132.3,7.6,83189,705,0.836,4.999,63.5,74126
8:8,64,kv,1920,30.0,12.093,12815.0,105.98,0.757,122.87,193.119,192.24,208.42,4.8,67258,561,0.857,192.584,236.43,43536
8:8,64,kv-tuned,1536,24.0,21.725,27358.6,227.59,0.91,0.346,10.857,113.39,151.66,6.6,79925,670,0.845,10.592,77.02,78211
8:8,64,kv-tuned,1920,30.0,21.65,24813.6,209.32,0.876,4.696,44.699,166.2,201.38,5.0,72733,619,0.864,44.413,113.4,77940
